CGPA,Completed_Course_Count,Interest_Area,Recommended_Course
2.7448,2,5,History102
2.56,2,0,Cs102
2.5476,2,3,History102
2.3491999999999997,1,0,History101
2.6508,2,4,Math102
2.3988,1,2,Cs102
3.2676,2,5,Chem101
3.138,1,0,Bio102
2.7651999999999997,2,3,Cs102
2.6516,4,0,Physics102
2.4752,1,3,History101
3.0707999999999998,3,0,Physics101
3.838,1,3,Cs101
3.3716000000000004,2,0,Math101
3.4888,4,3,Chem102
3.6688,3,5,Physics101
2.7032,3,0,History102
2.1256,4,4,Chem101
3.2451999999999996,1,0,Chem101
2.3772,1,0,Chem102
3.138,4,4,Math102
3.4792,4,4,Physics102
3.5672,4,5,Cs101
2.6036,2,5,Physics101
3.0248000000000004,3,5,Bio101
3.242,2,0,Math101
3.6388,4,2,Cs102
3.5227999999999997,1,4,Chem102
3.9760000000000004,1,5,Math102
2.016,4,5,Chem101
2.8748,1,3,Math101
2.512,4,0,Bio101
2.2396000000000003,3,3,Chem101
3.8232,4,4,History101
3.9960000000000004,3,4,Bio101
2.3612,3,0,Chem102
2.0768,3,3,Math102
2.55,2,0,Cs102
3.6696,2,2,History102
2.5876,3,0,Math102
2.114,1,4,Cs101
2.1048,1,0,Bio102
2.8548,1,2,Bio101
3.8636,4,3,Cs102
2.572,3,0,Physics101
2.8544,2,2,Bio102
2.204,3,3,Math102
2.9872,3,5,Bio101
3.3931999999999998,4,2,Cs102
2.5424,4,0,Physics101
2.5936000000000003,1,0,Math102
3.6839999999999997,1,3,Math101
2.0208,1,0,History102
3.2727999999999997,4,0,Math101
2.7876,2,0,Bio102
2.5968,3,2,Cs101
3.3152,2,3,Bio101
3.6692,1,0,Cs102
3.1168,4,2,Bio101
2.062,1,0,Bio102
2.9227999999999996,1,0,Bio102
2.9256,2,0,Physics101
3.0876,4,5,History101
3.342,4,3,Math102
2.0388,3,5,History101
3.0039999999999996,1,0,Math102
3.1768,2,3,Cs101
2.6868,1,3,History101
3.3368,3,5,Bio101
2.4564,4,3,Bio101
2.6348000000000003,2,0,Physics101
3.9256,3,0,Bio101
2.696,2,5,Physics102
2.6932,1,2,Math101
3.1912000000000003,1,2,Physics101
3.9419999999999997,1,4,Chem101
3.966,4,2,Chem102
3.1592000000000002,2,3,Cs101
2.002,1,3,History102
3.8012,1,3,Math102
3.1404,4,2,Physics101
2.7319999999999998,2,4,History101
3.6584,2,0,Chem102
2.7996,4,5,Physics102
2.068,4,5,Chem101
3.642,4,3,History101
3.0916,1,3,Bio101
2.6763999999999997,3,4,Bio102
2.5016,3,2,Math101
3.1875999999999998,4,3,Physics102
2.416,1,4,Chem102
2.6475999999999997,1,0,Bio101
3.2732,1,0,Cs102
3.7632,3,0,Cs102
3.0656,4,0,Chem102
3.5183999999999997,3,5,Cs102
3.5260000000000002,2,4,Cs101
3.3287999999999998,4,0,Physics101
2.4916,1,0,Math102
3.7336,2,4,Physics101
2.8724000000000003,2,5,Chem101
2.0884,2,3,Physics101
2.4892,1,0,Physics101
3.5312,1,0,Math101
2.1384,4,0,Math102
2.2948,1,2,Bio101
3.3884,2,0,Bio102
3.7851999999999997,3,2,Physics101
3.2676,3,0,Math102
2.4444,1,5,History102
2.1068000000000002,2,2,Cs102
3.2304000000000004,4,3,History101
2.0947999999999998,2,3,Math101
3.2256,2,0,Cs102
2.4512,2,5,Math102
3.8092,2,0,Cs102
2.95,2,4,Physics101
2.448,2,2,History101
3.7064,4,3,Physics101
2.508,3,0,Chem101
2.6132,3,2,Physics101
3.6683999999999997,1,5,History101
2.6176,2,3,Bio102
2.8204000000000002,4,5,Physics102
2.6952,2,4,History102
2.2328,4,0,Math102
2.0776,4,2,History102
3.4492000000000003,1,3,Chem101
3.2904,2,2,History102
2.5648,3,4,Cs102
2.5912,3,3,Chem102
3.89,3,5,Math101
3.9751999999999996,1,4,History101
2.9468,3,0,Math101
3.6048,4,0,History101
3.4732,4,0,Math102
2.5948,1,3,History102
2.1172,1,2,Math102
2.2852,3,0,Physics101
3.6763999999999997,2,0,Bio102
3.4624,3,0,Physics101
3.3287999999999998,4,2,Math101
2.2612,1,2,Cs101
3.28,2,0,Cs101
3.5444,4,0,Chem102
3.7212,4,0,Cs101
2.0263999999999998,4,0,Chem101
3.3688,4,0,Cs102
2.0380000000000003,1,3,Cs102
3.4136,3,4,Physics101
3.2712,2,3,Cs101
2.2968,1,4,Chem102
3.5324,1,4,History101
2.1368,3,0,Physics101
3.6527999999999996,4,0,Math102
2.524,1,0,Cs101
3.3775999999999997,4,0,Physics101
3.8472000000000004,2,5,Cs101
2.6795999999999998,4,3,Chem101
3.0056,4,2,Bio101
2.9263999999999997,4,2,Chem102
2.3152,2,3,Math101
3.1807999999999996,3,5,Physics102
3.486,2,0,Chem102
3.8336,4,2,Cs101
3.7016000000000004,1,5,Math102
3.02,2,2,Bio102
3.438,2,0,Math102
3.6016000000000004,4,5,Math101
2.9868,1,3,History102
2.2308000000000003,1,2,Math102
2.8760000000000003,4,0,Physics101
3.6848,3,3,Bio102
3.1932,4,5,Math102
3.4488,4,3,Physics102
2.3704,4,2,Math101
3.9288,1,4,Physics101
2.8080000000000003,2,2,Cs101
3.3072000000000004,4,2,Chem102
2.0376,2,0,Math101
2.2548,4,3,Physics102
3.5639999999999996,3,0,Cs102
3.9360000000000004,4,2,Physics102
2.64,2,0,History101
2.0744,2,4,History101
2.7216000000000005,1,3,Cs102
2.0347999999999997,3,4,Chem101
2.3848,1,0,Math102
3.5048000000000004,3,0,Chem102
3.8739999999999997,3,2,History102
2.1748,2,0,History102
3.116,1,0,Bio101
2.5076,1,4,Chem102
2.278,1,0,Bio101
2.438,1,0,Physics102
3.1556,3,3,Cs102
2.1304,3,4,Bio101
2.8684,2,3,Cs102
2.2704,4,5,Cs101
2.5452,1,4,Math101
2.3816,1,2,Physics101
3.766,3,0,History101
3.4160000000000004,2,5,History102
3.7368,2,5,Math102
2.7668,3,4,Physics101
2.6268000000000002,3,0,Physics102
2.7612,4,4,Bio101
2.0372,4,4,Cs101
3.4495999999999998,2,4,Physics101
2.6995999999999998,2,2,Cs101
2.6268000000000002,1,0,History102
3.1963999999999997,2,3,History102
2.8724000000000003,4,3,Math102
3.9616000000000002,1,0,Cs102
2.7124,3,2,Physics102
3.2276,2,2,Chem101
2.6231999999999998,4,4,Chem102
3.9812,2,4,Math102
2.8904,1,4,History102
3.2683999999999997,2,3,Math101
2.2536,2,0,Bio101
3.466,2,4,Cs102
2.5384,2,0,Bio101
2.8972,2,5,Bio101
3.7664,1,0,Bio102
3.9412000000000003,1,2,Chem102
2.8492,3,4,Math101
3.6696,3,0,Math102
2.1068000000000002,1,0,Physics101
3.6952,2,0,Chem101
3.2592000000000003,1,0,Cs101
2.9776,2,0,Chem102
3.78,4,5,Chem102
3.6908,4,0,Bio102
2.594,3,0,Math102
3.5827999999999998,4,0,Chem102
2.1988,1,3,Cs101
3.6456,1,3,Cs101
3.3508,1,0,Math101
2.1756,3,4,Physics101
3.366,4,0,Cs101
3.1612,4,3,Chem101
3.1892,4,4,Chem102
2.5816000000000003,1,0,Math101
2.5328,4,0,History102
3.5252,3,4,Math101
2.5136000000000003,3,4,Chem101
2.8924000000000003,3,5,Cs102
3.3895999999999997,1,4,Math101
2.1592,1,2,History102
3.1892,1,5,Cs101
3.1788,3,5,History101
3.3684,3,3,History101
2.74,4,3,History101
2.898,1,4,Cs102
2.66,2,0,Bio101
3.6164,2,0,History102
2.2612,1,0,Chem101
3.926,1,2,Bio102
3.2695999999999996,3,4,Math102
3.7739999999999996,4,2,History101
2.8524000000000003,3,4,Math102
2.6644,3,0,Cs102
3.8016,3,2,Math102
2.1976,4,0,Chem102
2.2344,3,2,Cs102
2.5987999999999998,2,3,Math102
3.9196,1,4,Math101
3.266,3,5,History101
3.1083999999999996,2,0,Physics101
3.4108,4,0,Bio102
2.8348,3,4,Physics102
3.516,2,2,Cs102
2.7864,2,0,Cs101
3.6527999999999996,1,5,Physics102
2.5343999999999998,4,0,Chem101
2.5552,1,2,Cs102
3.0448000000000004,2,4,Cs102
2.8616,2,0,Math102
3.2963999999999998,2,4,Cs102
2.7283999999999997,3,4,History101
2.4612,2,4,History102
2.9396,2,2,History102
3.122,3,0,Chem101
2.2852,4,4,Chem102
3.1136,1,0,Bio101
2.6384,3,3,Bio102
2.7848,1,0,Physics101
2.5587999999999997,1,4,Chem102
3.8627999999999996,1,5,History101
3.3668,4,2,History101
2.5248,4,5,Math101
3.29,2,3,History102
3.6972000000000005,3,0,Physics102
2.8032,1,4,Cs101
3.66,2,0,Cs102
2.3087999999999997,1,0,Physics101
3.6456,4,3,Cs101
3.0804,1,5,Chem102
2.4459999999999997,1,4,Cs101
2.8144,1,3,Math101
3.9760000000000004,3,4,Physics101
3.5672,1,2,Physics101
3.15,4,0,Math101
2.2304,3,5,History101
2.8356,3,0,Math101
2.526,2,4,History101
2.142,3,0,Physics102
3.0844,1,0,Chem101
3.7783999999999995,1,4,History101
3.3512,2,2,Cs101
2.4992,2,2,History101
3.1472,3,2,Chem101
3.8864,3,0,Chem102
3.446,4,3,Cs102
3.3788,3,5,Math101
3.9364,2,5,Cs102
3.5976,4,2,Math101
2.2732,1,0,Bio102
2.6952,2,5,Physics102
3.9304,4,0,History102
2.9795999999999996,4,5,Cs101
2.2232,4,0,Cs101
2.9172000000000002,3,5,Chem102
3.3939999999999997,1,3,Bio101
3.9951999999999996,3,0,History102
2.648,1,0,History102
3.028,2,2,Math101
3.7592000000000003,2,4,Cs101
2.7104000000000004,1,3,Bio102
2.2184,1,0,Cs101
3.898,3,0,History102
2.9768,1,0,Math101
3.0056,3,0,History101
3.2424,1,4,History101
2.0072,1,2,Chem101
3.8624,3,3,Math102
2.7228,3,0,Physics101
2.7939999999999996,2,0,Physics102
2.3484,1,0,Math101
2.7563999999999997,3,4,History101
3.608,3,0,Chem102
3.6,1,3,Physics101
3.8716000000000004,3,2,Physics101
2.8064,2,3,Physics101
3.4175999999999997,4,4,History102
3.0144,4,4,Chem101
3.608,2,3,Chem102
3.4252,3,2,Math102
2.736,4,3,Chem102
2.6732,2,3,Chem102
2.5048,1,3,Math101
3.1532,4,3,Chem101
3.9276,1,0,Cs102
2.4,2,5,Chem101
2.1904,3,2,Cs102
2.2388,3,4,Math102
3.5660000000000003,1,3,Math101
2.7004,4,0,History102
2.4488,1,4,Physics101
2.7056,2,5,Math101
3.2908,4,4,History102
3.0936000000000003,1,0,Bio102
3.4872,1,0,Math101
2.678,3,5,History102
2.904,4,0,Math101
2.204,3,3,Chem101
2.146,3,2,Chem101
2.9244,1,5,Bio102
2.6031999999999997,4,5,Chem101
3.2256,4,4,Physics101
2.086,4,3,Physics102
2.2436000000000003,4,2,Cs101
3.7304000000000004,2,5,Cs102
3.1327999999999996,1,0,Chem101
3.424,2,5,Bio101
3.6839999999999997,3,0,Bio102
2.9276,4,5,Physics102
3.522,3,2,Cs102
3.0492000000000004,4,2,Math101
2.4456,2,4,Math102
2.6752,2,3,History102
2.9808,2,0,Physics102
2.6336,1,0,Chem102
2.6712000000000002,1,0,History101
2.6748000000000003,1,3,Physics102
2.2456,1,5,Chem101
2.1692,4,0,Chem101
2.0928,1,2,Physics102
2.222,3,3,History102
2.6875999999999998,3,5,Cs102
3.1875999999999998,2,3,Math101
2.3764,4,4,History101
